@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@391bc702 data'

@attribute podName numeric
@attribute namespace numeric
@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute imageName numeric
@attribute containerName numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
-1458315933,-386679014,521195520,29252011,32768,65536,627390603,307071925,104382626,19236281351,19036101461,180,2083680,0,3125505,mysql
-1458315933,-386679014,521187328,27944144,32768,65536,627390603,307071925,104382626,19236411375,19036240329,180,2083680,0,3125515,mysql
-1458315933,-386679014,521187328,27944144,32768,65536,627390603,307071925,104382626,19236494048,19036329162,180,2083680,0,3125525,mysql
-1458315933,-386679014,521187328,33562725,32768,65536,627390603,307071925,104382626,19236591576,19036432246,180,2083680,0,3125535,mysql
-1458315933,-386679014,521187328,33562725,32768,65536,627390603,307071925,104382626,19236669785,19036515548,180,2083680,0,3125545,mysql
-1458315933,-386679014,521195520,31015544,32768,65536,627390603,307071925,104382626,19236669785,19036515548,180,2083680,0,3125555,mysql
-1458315933,-386679014,521195520,31015544,32768,65536,627390603,307071925,104382626,19236788552,19036642126,180,2083680,0,3125565,mysql
-1458315933,-386679014,521195520,31338720,32768,65536,627390603,307071925,104382626,19236788552,19036642126,180,2083680,0,3125575,mysql
-1458315933,-386679014,521195520,31338720,32768,65536,627390603,307071925,104382626,19236911777,19036773409,180,2083680,0,3125585,mysql
-1458315933,-386679014,521199616,28520033,32768,65536,627390603,307071925,104382626,19236911777,19036773409,180,2083680,0,3125595,mysql
-1458315933,-386679014,521199616,28520033,32768,65536,627390603,307071925,104382626,19237044487,19036917237,180,2083680,0,3125605,mysql
-1458315933,-386679014,521191424,29254542,32768,65536,627390603,307071925,104382626,19237162831,19037043984,180,2083680,0,3125615,mysql
-1458315933,-386679014,521199616,30441804,32768,65536,627390603,307071925,104382626,19237162831,19037043984,180,2083680,0,3125625,mysql
-1458315933,-386679014,521199616,30441804,32768,65536,627390603,307071925,104382626,19237248821,19037136020,180,2083680,0,3125635,mysql
-1458315933,-386679014,521199616,29176537,32768,65536,627390603,307071925,104382626,19237328879,19037220494,180,2083680,0,3125645,mysql
-1458315933,-386679014,521199616,26250080,32768,65536,627390603,307071925,104382626,19237328879,19037220494,180,2083680,0,3125655,mysql
-1458315933,-386679014,521199616,26250080,32768,65536,627390603,307071925,104382626,19237464397,19037363315,180,2083680,0,3125665,mysql
-1458315933,-386679014,521195520,31070253,32768,65536,627390603,307071925,104382626,19237562296,19037466068,180,2083680,0,3125675,mysql
-1458315933,-386679014,521195520,31070253,32768,65536,627390603,307071925,104382626,19237562296,19037466068,180,2083680,0,3125685,mysql
-1458315933,-386679014,521195520,30440562,32768,65536,627390603,307071925,104382626,19237698784,19037611872,180,2083680,0,3125695,mysql
-1458315933,-386679014,521195520,30440562,32768,65536,627390603,307071925,104382626,19237698784,19037611872,180,2083680,0,3125705,mysql
-1458315933,-386679014,521195520,33108715,32768,65536,627390603,307071925,104382626,19237835081,19037756002,180,2083680,0,3125715,mysql
-1458315933,-386679014,521195520,33108715,32768,65536,627390603,307071925,104382626,19237931977,19037858640,180,2083680,0,3125725,mysql
-1458315933,-386679014,521195520,25525981,32768,65536,627390603,307071925,104382626,19237931977,19037858640,180,2083680,0,3125735,mysql
-1458315933,-386679014,521588736,31678385,32768,65536,627390603,307071925,104382626,19238028343,19037961308,180,2083680,0,3125745,mysql
-1458315933,-386679014,521199616,28431330,32768,65536,627390603,307071925,104382626,19238130237,19038070468,180,2083680,0,3125754,mysql
-1458315933,-386679014,521199616,29731907,32768,65536,627390603,307071925,104382626,19238130237,19038070468,180,2083680,0,3125765,mysql
-1458315933,-386679014,521199616,29731907,32768,65536,627390603,307071925,104382626,19238256584,19038208042,180,2083680,0,3125775,mysql
-1458315933,-386679014,521175040,31178176,32768,65536,627390603,307071925,104382626,19238348111,19038306833,180,2083680,0,3125785,mysql
-1458315933,-386679014,521175040,31585164,32768,65536,627390603,307071925,104382626,19238348111,19038306833,180,2083680,0,3125795,mysql
-1458315933,-386679014,521175040,31585164,32768,65536,627390603,307071925,104382626,19238450850,19038417211,180,2083680,0,3125805,mysql
-1458315933,-386679014,521191424,29591143,32768,65536,627390603,307071925,104382626,19238547420,19038519594,180,2083680,0,3125815,mysql
-1458315933,-386679014,521191424,29591143,32768,65536,627390603,307071925,104382626,19238652826,19038633208,180,2083680,0,3125825,mysql
-1458315933,-386679014,521179136,28405249,32768,65536,627390603,307071925,104382626,19238652826,19038633208,180,2083680,0,3125835,mysql
-1458315933,-386679014,521183232,29106973,32768,65536,627390603,307071925,104382626,19238770173,19038759585,180,2083680,0,3125845,mysql
-1458315933,-386679014,521187328,31094746,32768,65536,627390603,307071925,104382626,19238856849,19038852960,180,2083680,0,3125855,mysql
-1458315933,-386679014,521187328,31094746,32768,65536,627390603,307071925,104382626,19238856849,19038852960,180,2083680,0,3125865,mysql
-1458315933,-386679014,521187328,31723050,32768,65536,627390603,307071925,104382626,19238954404,19038958068,180,2083680,0,3125875,mysql
-1458315933,-386679014,521187328,31682570,32768,65536,627390603,307071925,104382626,19239084028,19039097867,180,2083680,0,3125885,mysql
-1458315933,-386679014,521187328,31682570,32768,65536,627390603,307071925,104382626,19239084028,19039097867,180,2083680,0,3125895,mysql
-1458315933,-386679014,521187328,27320062,32768,65536,627390603,307071925,104382626,19239193328,19039215092,180,2083680,0,3125905,mysql
-1458315933,-386679014,521199616,32016097,32768,65536,627390603,307071925,104382626,19239193328,19039215092,180,2083680,0,3125915,mysql
-1458315933,-386679014,521199616,32016097,32768,65536,627390603,307071925,104382626,19239315024,19039346237,180,2083680,0,3125925,mysql
-1458315933,-386679014,521203712,30043201,32768,65536,627390603,307071925,104382626,19239315024,19039346237,180,2083680,0,3125935,mysql
-1458315933,-386679014,521203712,28480749,32768,65536,627390603,307071925,104382626,19239448918,19039489275,180,2083680,0,3125945,mysql
-1458315933,-386679014,521203712,28480749,32768,65536,627390603,307071925,104382626,19239556406,19039603058,180,2083680,0,3125955,mysql
-1458315933,-386679014,521203712,32360279,32768,65536,627390603,307071925,104382626,19239632406,19039683617,180,2083680,0,3125965,mysql
-1458315933,-386679014,521203712,27864895,32768,65536,627390603,307071925,104382626,19239720258,19039777245,180,2083680,0,3125975,mysql
-1458315933,-386679014,521203712,27864895,32768,65536,627390603,307071925,104382626,19239809016,19039872525,180,2083680,0,3125985,mysql
-1458315933,-386679014,521203712,31413490,32768,65536,627390603,307071925,104382626,19239809016,19039872525,180,2083680,0,3125995,mysql
-1458315933,-386679014,521203712,31413490,32768,65536,627390603,307071925,104382626,19239925620,19039996297,180,2083680,0,3126005,mysql
