@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@2c5c83c9 data'

@attribute podName numeric
@attribute namespace numeric
@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute imageName numeric
@attribute containerName numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
-1458315933,-386679014,529162240,772537042,32768,65536,627390603,307071925,104382626,20958788132,20759978963,205,2281014,0,3459965,mysql
-1458315933,-386679014,529199104,599247541,32768,65536,627390603,307071925,104382626,20958788132,20759978963,205,2281014,0,3459975,mysql
-1458315933,-386679014,529199104,599247541,32768,65536,627390603,307071925,104382626,20958842108,20760082226,205,2281014,0,3459985,mysql
-1458315933,-386679014,529207296,19000993,32768,65536,627390603,307071925,104382626,20958885261,20760128174,205,2281014,0,3459995,mysql
-1458315933,-386679014,529195008,10415098,32768,65536,627390603,307071925,104382626,20958885261,20760128174,205,2281014,0,3460005,mysql
-1458315933,-386679014,529195008,10415098,32768,65536,627390603,307071925,104382626,20958945045,20760192109,205,2281014,0,3460015,mysql
-1458315933,-386679014,529203200,29077533,32768,65536,627390603,307071925,104382626,20958945045,20760192109,205,2281014,0,3460025,mysql
-1458315933,-386679014,529203200,35345728,32768,65536,627390603,307071925,104382626,20959065470,20760321778,205,2281014,0,3460035,mysql
-1458315933,-386679014,529203200,24179561,32768,65536,627390603,307071925,104382626,20959165449,20760431103,205,2281014,0,3460045,mysql
-1458315933,-386679014,529203200,24179561,32768,65536,627390603,307071925,104382626,20959165449,20760431103,205,2281014,0,3460055,mysql
-1458315933,-386679014,529203200,31102758,32768,65536,627390603,307071925,104382626,20959251714,20760523623,205,2281014,0,3460064,mysql
-1458315933,-386679014,529203200,31102758,32768,65536,627390603,307071925,104382626,20959353716,20760633082,205,2281014,0,3460075,mysql
-1458315933,-386679014,529203200,29355139,32768,65536,627390603,307071925,104382626,20959452166,20760738683,205,2281014,0,3460085,mysql
-1458315933,-386679014,529203200,29355139,32768,65536,627390603,307071925,104382626,20959452166,20760738683,205,2281014,0,3460094,mysql
-1458315933,-386679014,529203200,30911614,32768,65536,627390603,307071925,104382626,20959543063,20760837154,205,2281014,0,3460105,mysql
-1458315933,-386679014,529190912,30602191,32768,65536,627390603,307071925,104382626,20959661416,20760961763,205,2281014,0,3460115,mysql
-1458315933,-386679014,529190912,30602191,32768,65536,627390603,307071925,104382626,20959696967,20760998925,205,2281014,0,3460125,mysql
-1458315933,-386679014,529182720,24423891,32768,65536,627390603,307071925,104382626,20959696967,20760998925,205,2281014,0,3460135,mysql
-1458315933,-386679014,529207296,27076091,32768,65536,627390603,307071925,104382626,20959826778,20761134777,205,2281014,0,3460145,mysql
-1458315933,-386679014,529207296,27076091,32768,65536,627390603,307071925,104382626,20959826778,20761134777,205,2281014,0,3460155,mysql
-1458315933,-386679014,529207296,30367308,32768,65536,627390603,307071925,104382626,20959945769,20761261894,205,2281014,0,3460165,mysql
-1458315933,-386679014,529207296,30367308,32768,65536,627390603,307071925,104382626,20960027786,20761349583,205,2281014,0,3460175,mysql
-1458315933,-386679014,529207296,29681362,32768,65536,627390603,307071925,104382626,20960111862,20761438236,205,2281014,0,3460185,mysql
-1458315933,-386679014,529207296,29681362,32768,65536,627390603,307071925,104382626,20960111862,20761438236,205,2281014,0,3460195,mysql
-1458315933,-386679014,529186816,31434322,32768,65536,627390603,307071925,104382626,20960195998,20761526800,205,2281014,0,3460205,mysql
-1458315933,-386679014,529186816,31434322,32768,65536,627390603,307071925,104382626,20960304490,20761642407,205,2281014,0,3460215,mysql
-1458315933,-386679014,529186816,28373578,32768,65536,627390603,307071925,104382626,20960304490,20761642407,205,2281014,0,3460225,mysql
-1458315933,-386679014,529211392,32987231,32768,65536,627390603,307071925,104382626,20960413205,20761758758,205,2281014,0,3460235,mysql
-1458315933,-386679014,529211392,32987231,32768,65536,627390603,307071925,104382626,20960524008,20761878302,205,2281014,0,3460245,mysql
-1458315933,-386679014,529215488,32568325,32768,65536,627390603,307071925,104382626,20960524008,20761878302,205,2281014,0,3460255,mysql
-1458315933,-386679014,529199104,25886974,32768,65536,627390603,307071925,104382626,20960635810,20761997604,205,2281014,0,3460264,mysql
-1458315933,-386679014,529199104,25886974,32768,65536,627390603,307071925,104382626,20960635810,20761997604,205,2281014,0,3460275,mysql
-1458315933,-386679014,529227776,32063478,32768,65536,627390603,307071925,104382626,20960764344,20762133228,205,2281014,0,3460285,mysql
-1458315933,-386679014,529235968,28315156,32768,65536,627390603,307071925,104382626,20960862839,20762239201,205,2281014,0,3460295,mysql
-1458315933,-386679014,529235968,28315156,32768,65536,627390603,307071925,104382626,20960940632,20762323789,205,2281014,0,3460305,mysql
-1458315933,-386679014,529215488,33891651,32768,65536,627390603,307071925,104382626,20960940632,20762323789,205,2281014,0,3460315,mysql
-1458315933,-386679014,529215488,33891651,32768,65536,627390603,307071925,104382626,20961074030,20762465689,205,2281014,0,3460325,mysql
-1458315933,-386679014,529215488,27502451,32768,65536,627390603,307071925,104382626,20961074030,20762465689,205,2281014,0,3460335,mysql
-1458315933,-386679014,529227776,34806346,32768,65536,627390603,307071925,104382626,20961159309,20762555645,205,2281014,0,3460345,mysql
-1458315933,-386679014,529227776,28302443,32768,65536,627390603,307071925,104382626,20961278776,20762681262,205,2281014,0,3460355,mysql
-1458315933,-386679014,529227776,28302443,32768,65536,627390603,307071925,104382626,20961278776,20762681262,205,2281014,0,3460365,mysql
-1458315933,-386679014,529227776,32378554,32768,65536,627390603,307071925,104382626,20961393070,20762802306,205,2281014,0,3460375,mysql
-1458315933,-386679014,529227776,27631326,32768,65536,627390603,307071925,104382626,20961488890,20762902704,205,2281014,0,3460385,mysql
-1458315933,-386679014,529215488,29296576,32768,65536,627390603,307071925,104382626,20961488890,20762902704,205,2281014,0,3460395,mysql
-1458315933,-386679014,529215488,30349852,32768,65536,627390603,307071925,104382626,20961585473,20763004695,205,2281014,0,3460405,mysql
-1458315933,-386679014,529215488,30349852,32768,65536,627390603,307071925,104382626,20961696966,20763122106,205,2281014,0,3460415,mysql
-1458315933,-386679014,529227776,32263271,32768,65536,627390603,307071925,104382626,20961696966,20763122106,205,2281014,0,3460425,mysql
-1458315933,-386679014,529227776,28214992,32768,65536,627390603,307071925,104382626,20961792396,20763224307,205,2281014,0,3460435,mysql
-1458315933,-386679014,529227776,28214992,32768,65536,627390603,307071925,104382626,20961872595,20763310655,205,2281014,0,3460445,mysql
-1458315933,-386679014,529231872,32197816,32768,65536,627390603,307071925,104382626,20961872595,20763310655,205,2281014,0,3460455,mysql
-1458315933,-386679014,529231872,30932442,32768,65536,627390603,307071925,104382626,20961970627,20763415876,205,2281014,0,3460465,mysql
-1458315933,-386679014,529231872,30932442,32768,65536,627390603,307071925,104382626,20962072869,20763525624,205,2281014,0,3460475,mysql
-1458315933,-386679014,529231872,26083681,32768,65536,627390603,307071925,104382626,20962072869,20763525624,205,2281014,0,3460485,mysql
-1458315933,-386679014,529231872,27715562,32768,65536,627390603,307071925,104382626,20962173186,20763630401,205,2281014,0,3460495,mysql
-1458315933,-386679014,529231872,27715562,32768,65536,627390603,307071925,104382626,20962248465,20763711754,205,2281014,0,3460505,mysql
-1458315933,-386679014,529129472,29883571,32768,65536,627390603,307071925,104382626,20962339723,20763810051,205,2281014,0,3460515,mysql
-1458315933,-386679014,529129472,29883571,32768,65536,627390603,307071925,104382626,20962339723,20763810051,205,2281014,0,3460525,mysql
-1458315933,-386679014,529141760,31296970,32768,65536,627390603,307071925,104382626,20962451963,20763930410,205,2281014,0,3460535,mysql
