@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@7561a8c data'

@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
539754496,786112124,32768,65536,20442782813,20244719642,180,2209520,0,3361075,mysql
539758592,808712231,32768,65536,20442782813,20244719642,180,2209525,0,3361085,mysql
539758592,808712231,32768,65536,20442831499,20244754620,180,2209578,0,3361095,mysql
539766784,835987169,32768,65536,20442869259,20244779408,180,2209578,0,3361105,mysql
539766784,835987169,32768,65536,20442869259,20244779408,180,2209600,0,3361115,mysql
539766784,737680745,32768,65536,20442918163,20244815768,180,2209644,0,3361125,mysql
539758592,814966250,32768,65536,20442918163,20244815768,180,2209644,0,3361135,mysql
539766784,664931116,32768,65536,20442969078,20244850452,180,2209644,0,3361145,mysql
539766784,664931116,32768,65536,20442993611,20244870017,180,2209708,0,3361155,mysql
539787264,761894796,32768,65536,20442993611,20244870017,180,2209742,0,3361165,mysql
539791360,720412774,32768,65536,20443051023,20244908893,180,2209798,0,3361175,mysql
539791360,720412774,32768,65536,20443051023,20244908893,180,2209798,0,3361185,mysql
539791360,817625335,32768,65536,20443087001,20244938072,180,2209798,0,3361195,mysql
539791360,800043622,32768,65536,20443130792,20244972820,180,2209853,0,3361205,mysql
539799552,817884804,32768,65536,20443130792,20244972820,180,2209876,0,3361215,mysql
539807744,836876370,32768,65536,20443168786,20244997060,180,2209876,0,3361225,mysql
539807744,836876370,32768,65536,20443168786,20244997060,180,2209876,0,3361235,mysql
539807744,818963485,32768,65536,20443201202,20245021478,180,2209876,0,3361245,mysql
539807744,818963485,32768,65536,20443228175,20245041298,180,2209876,0,3361255,mysql
539766784,784320867,32768,65536,20443228175,20245041298,180,2209876,0,3361265,mysql
539766784,784320867,32768,65536,20443266207,20245070747,180,2209876,0,3361275,mysql
539750400,816834471,32768,65536,20443266207,20245070747,180,2209876,0,3361285,mysql
539750400,816834471,32768,65536,20443308642,20245097997,180,2209894,0,3361295,mysql
539762688,778704578,32768,65536,20443351849,20245130006,180,2209897,0,3361305,mysql
539766784,735435783,32768,65536,20443351849,20245130006,180,2209897,0,3361315,mysql
539762688,733743294,32768,65536,20443408029,20245165157,180,2209958,0,3361325,mysql
539762688,733743294,32768,65536,20443438765,20245188165,180,2209958,0,3361335,mysql
539766784,814129411,32768,65536,20443466551,20245206144,180,2209958,0,3361345,mysql
539770880,815446192,32768,65536,20443466551,20245206144,180,2209958,0,3361355,mysql
539779072,815910089,32768,65536,20443510748,20245234863,180,2209958,0,3361365,mysql
539770880,811722036,32768,65536,20443542966,20245258865,180,2209958,0,3361375,mysql
539770880,811722036,32768,65536,20443542966,20245258865,180,2209958,0,3361385,mysql
539774976,806213446,32768,65536,20443580997,20245283513,180,2209958,0,3361395,mysql
539774976,806213446,32768,65536,20443601361,20245299368,180,2209958,0,3361405,mysql
539774976,826045584,32768,65536,20443601361,20245299368,180,2209962,0,3361415,mysql
539791360,798630243,32768,65536,20443643262,20245327376,180,2210021,0,3361425,mysql
539791360,832729410,32768,65536,20443674183,20245348175,180,2210021,0,3361435,mysql
539787264,714177615,32768,65536,20443708262,20245371588,180,2210021,0,3361445,mysql
539787264,714177615,32768,65536,20443708262,20245371588,180,2210021,0,3361455,mysql
539787264,789875924,32768,65536,20443732820,20245390551,180,2210021,0,3361465,mysql
539787264,789875924,32768,65536,20443755954,20245409897,180,2210021,0,3361475,mysql
539787264,789944265,32768,65536,20443780581,20245429392,180,2210039,0,3361485,mysql
539791360,787940613,32768,65536,20443809555,20245449096,180,2210082,0,3361495,mysql
539791360,787940613,32768,65536,20443809555,20245449096,180,2210111,0,3361505,mysql
539791360,792247995,32768,65536,20443842384,20245478852,180,2210111,0,3361515,mysql
539791360,792247995,32768,65536,20443874284,20245501611,180,2210111,0,3361525,mysql
539791360,785974282,32768,65536,20443910489,20245532007,180,2210111,0,3361535,mysql
539791360,785974282,32768,65536,20443910489,20245532007,180,2210132,0,3361545,mysql
539791360,773366745,32768,65536,20443948268,20245560450,180,2210150,0,3361555,mysql
539791360,797218710,32768,65536,20443948268,20245560450,180,2210153,0,3361565,mysql
539791360,806024129,32768,65536,20443993188,20245598918,180,2210153,0,3361575,mysql
539791360,806024129,32768,65536,20444017124,20245617436,180,2210153,0,3361585,mysql
539820032,792347047,32768,65536,20444044733,20245639157,180,2210153,0,3361595,mysql
539828224,807286297,32768,65536,20444076547,20245665772,180,2210178,0,3361605,mysql
539828224,807286297,32768,65536,20444076547,20245665772,180,2210248,0,3361615,mysql
539844608,812989942,32768,65536,20444107335,20245687339,180,2210248,0,3361625,mysql
539844608,812989942,32768,65536,20444136639,20245709753,180,2210248,0,3361635,mysql
539844608,795827669,32768,65536,20444136639,20245709753,180,2210248,0,3361645,mysql
539869184,727932568,32768,65536,20444181165,20245747341,180,2210248,0,3361655,mysql
539869184,727932568,32768,65536,20444181165,20245747341,180,2210248,0,3361665,mysql
539873280,813611355,32768,65536,20444238239,20245784365,180,2210248,0,3361675,mysql
539877376,809695555,32768,65536,20444238239,20245784365,180,2210248,0,3361685,mysql
539877376,809695555,32768,65536,20444283607,20245814607,180,2210270,0,3361695,mysql
539865088,817717046,32768,65536,20444312868,20245834549,180,2210270,0,3361705,mysql
539865088,817717046,32768,65536,20444312868,20245834549,180,2210270,0,3361715,mysql
539873280,708621261,32768,65536,20444362090,20245867174,180,2210270,0,3361725,mysql
539885568,808960658,32768,65536,20444388083,20245889507,180,2210270,0,3361735,mysql
539885568,808960658,32768,65536,20444388083,20245889507,180,2210270,0,3361745,mysql
539881472,790136605,32768,65536,20444427929,20245920379,180,2210294,0,3361755,mysql
539881472,790136605,32768,65536,20444464262,20245943973,180,2210341,0,3361765,mysql
539807744,818390717,32768,65536,20444464262,20245943973,180,2210341,0,3361775,mysql
539807744,818390717,32768,65536,20444502075,20245967681,180,2210341,0,3361785,mysql
539807744,807449803,32768,65536,20444533221,20245990661,180,2210341,0,3361795,mysql
539807744,807449803,32768,65536,20444533221,20245990661,180,2210341,0,3361805,mysql
539828224,809426397,32768,65536,20444560525,20246011279,180,2210341,0,3361815,mysql
